epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
101,1914.04,0.39757,0.50366,0.33871,0.84617,0,0.93675,0.90355,0.93593,0.83375,0.93683,0.90397,0.93933,0.76024,0.39336,0.61219,0.36797,0.84459,0,0.000425,0.000425,0.000425
102,1933.81,0.39884,0.51809,0.33561,0.84949,0,0.89723,0.92083,0.93556,0.83091,0.89688,0.92038,0.93631,0.74857,0.39726,0.60888,0.3762,0.84126,0,0.00041675,0.00041675,0.00041675
103,1953.07,0.39295,0.51255,0.32802,0.85088,0,0.92036,0.88938,0.93323,0.82915,0.91489,0.88423,0.9313,0.75698,0.39543,0.55758,0.38081,0.84054,0,0.0004085,0.0004085,0.0004085
104,1971.92,0.39487,0.49435,0.33689,0.85297,0,0.89473,0.92437,0.93959,0.84059,0.89903,0.91568,0.93856,0.76191,0.38871,0.57233,0.37835,0.83407,0,0.00040025,0.00040025,0.00040025
105,1990.46,0.38814,0.49801,0.32639,0.85242,0,0.90545,0.91902,0.94038,0.83453,0.90178,0.92256,0.93942,0.76488,0.40453,0.57333,0.38174,0.8406,0,0.000392,0.000392,0.000392
106,2009.05,0.38482,0.49085,0.32609,0.8459,0,0.95487,0.88169,0.93535,0.82827,0.94811,0.88761,0.94013,0.75799,0.39925,0.56993,0.38238,0.84436,0,0.00038375,0.00038375,0.00038375
107,2027.79,0.38661,0.48382,0.32406,0.84221,0,0.91227,0.89818,0.93076,0.83146,0.91616,0.91027,0.93796,0.76175,0.40116,0.55196,0.37978,0.84772,0,0.0003755,0.0003755,0.0003755
108,2046.31,0.40835,0.51725,0.33968,0.85309,0,0.92415,0.90135,0.9435,0.84266,0.93056,0.9039,0.94478,0.7664,0.38167,0.55653,0.36978,0.83952,0,0.00036725,0.00036725,0.00036725
109,2065.02,0.38343,0.48389,0.32367,0.84572,0,0.93682,0.89752,0.93845,0.84045,0.93682,0.89752,0.9412,0.76428,0.38616,0.5693,0.37396,0.83993,0,0.000359,0.000359,0.000359
110,2083.6,0.39193,0.49995,0.32524,0.84716,0,0.93426,0.89323,0.9353,0.83421,0.92877,0.88803,0.9384,0.7667,0.40888,0.58027,0.38699,0.84857,0,0.00035075,0.00035075,0.00035075
111,2102.35,0.39951,0.47771,0.3286,0.84752,0,0.94417,0.89509,0.94321,0.83866,0.93296,0.88472,0.93978,0.76566,0.38803,0.5964,0.38358,0.84625,0,0.0003425,0.0003425,0.0003425
112,2120.84,0.39307,0.50396,0.33467,0.85178,0,0.93843,0.90565,0.9405,0.83956,0.92687,0.89453,0.93392,0.76857,0.38616,0.58667,0.38075,0.84554,0,0.00033425,0.00033425,0.00033425
113,2139.26,0.37384,0.46619,0.31413,0.84131,0,0.93998,0.89733,0.93743,0.83612,0.9291,0.89465,0.93423,0.76858,0.3825,0.59132,0.37492,0.84707,0,0.000326,0.000326,0.000326
114,2157.97,0.38477,0.47418,0.31676,0.84799,0,0.94843,0.89506,0.93698,0.83895,0.92888,0.89672,0.93542,0.76648,0.38539,0.60563,0.36533,0.85365,0,0.00031775,0.00031775,0.00031775
115,2176.73,0.38196,0.49353,0.3195,0.84453,0,0.94722,0.90247,0.94412,0.84315,0.93562,0.89212,0.94027,0.77347,0.37693,0.58193,0.36198,0.84504,0,0.0003095,0.0003095,0.0003095
116,2195.35,0.38626,0.48579,0.31933,0.84838,0,0.92682,0.90633,0.94025,0.85079,0.92133,0.9088,0.94111,0.77329,0.38164,0.58954,0.36453,0.8458,0,0.00030125,0.00030125,0.00030125
117,2213.93,0.38646,0.50159,0.3239,0.84921,0,0.94476,0.89924,0.94696,0.84269,0.92343,0.90918,0.94007,0.77128,0.38014,0.56899,0.36147,0.84409,0,0.000293,0.000293,0.000293
